id,county,region,site_name,fieldwork_type,organisation,x_ref_map,y_ref_map,MajorSite,MinorSite,NonDomesticStructure,HEREvent,HERID,HERMonument,HERSource,SiteCode,OASIS
"10007","Surrey","South","Ewell, King William IV site","Excavation","Nonsuch Antiquarian Society","522070","162600","Religious ritual and funerary|Nucleated settlement","shrine|roadside settlement","well|corndrier","","","SHHER_1094","","",""
"12055","Berkshire","South","Weycock Hill","Excavation","Aylwin Cotton","482187","177830","Religious ritual and funerary","RC temple|funerary site","well","","","MRW656","","",""
"12062","Berkshire","Central Belt","Roden Downs","Excavation","Newbury District Field Club","453150","181790","Religious ritual and funerary","funerary site","","","","MWB3192","","",""
"13002","Buckinghamshire","Central Belt","Bancroft temple-Mausoleum","Excavation","Buckinghamshire Archaeological Society","482530","240480","Rural settlement|Religious ritual and funerary","farm|shrine|RC temple|funerary site","corndrier","","","","","",""
"13014","Buckinghamshire","Central Belt","Church Lane, West Wycombe","Excavation","Northamptonshire Archaeology","483010","194740","Religious ritual and funerary","funerary site","","","","","","",""
"16128","Oxfordshire","Central Belt","Kingston Bagpuize","Watching brief","John Moore Heritage Services","440875","199978","Religious ritual and funerary","funerary site","","","","","","",""
"16145","Oxfordshire","Central Belt","Stanford in the Vale Rising Main Replacement","Watching brief","Cotswold Archaeology","434399","193078","Religious ritual and funerary","funerary site","","","","","","",""
"16146","Oxfordshire","Central Belt","Cold Harbour Farm Crowmarsh, Wallingford","Excavation","Wallingford Historical and Archaeological Society","461960","186470","Rural settlement|Religious ritual and funerary","farm|funerary site","corndrier","","","","","","englishh2-86408"
"16147","Oxfordshire","Central Belt","Manor Farm, Souldern","Watching brief","John Moore Heritage Services","452070","231650","Religious ritual and funerary","funerary site","","","","","","","johnmoor1-64621"
"16149","Oxfordshire","Central Belt","High Lodge Farm, Culham","Evaluation","John Moore Heritage Services","450576","196012","Rural landscape|Religious ritual and funerary","field system|funerary site","","","","","","CHLF 10","johnmoor1-95115"
"16155","Oxfordshire","Central Belt","Radley Barrow Hills I","Excavation","","451700","198400","Religious ritual and funerary","funerary site","","","","","","",""
"16156","Oxfordshire","Central Belt","Lee's Rest, Charlbury","Excavation","University of Oxford Archaeological Society","437810","219310","Religious ritual and funerary","shrine","","","","","","",""
"17001","Wiltshire","Central Belt","Nettleton","Excavation","Bath and Camerton Archaeological Society","382200","176900","Religious ritual and funerary|Nucleated settlement","RC temple|shrine|roadside settlement|mill|other metal production|funerary site|iron production","mill|well|workshop","","","MWI2165","","",""
"17005","Wiltshire","South","Horse Down","Excavation","Wessex Archaeology","402093","148329","Religious ritual and funerary|Rural landscape","funerary site|field system","","","","","","",""
"17010","Wiltshire","Central Belt","Great Bedwyn/Shalbourne","Geophysics","","429592","162159","Religious ritual and funerary","shrine","","","","","","",""
"14129","Gloucestershire","Central Belt","Leaze farm, Kelmscott Road, Lechlade","Excavation","John Moore Heritage Services; Oxford Archaeology","422900","198830","Rural landscape|Religious ritual and funerary","field system|shrine","","","","","","",""
"14135","Gloucestershire","Central Belt","Former British Energy site, Barnwood Road, Hucclecote","Watching brief","Historic Environment and Archaeology Service, Worcestershire County Council","386390","218080","Religious ritual and funerary","funerary site","","","","","","",""
"14137","Gloucestershire","Central Belt","Agricultural House, Sandhurst Lane, Gloucester","Evaluation","Gloucester Archaeology","383450","219830","Religious ritual and funerary|Military","shrine|other military","","","","","","",""
"14142","Gloucestershire","Central Belt","Henbury Secondary School, Henbury, Bristol","Evaluation","Cotswold Archaeology","356362","179434","Rural settlement|Rural landscape|Communications|Religious ritual and funerary","farm|field system|funerary site|road","","","","2332M","","",""
"14169","Gloucestershire","Central Belt","Horcott Quarry","Excavation","Oxford Archaeology","414474","199970","Rural settlement|Religious ritual and funerary","farm|funerary site","corndrier","","","","","",""
"14179","Gloucestershire","Central Belt","Long Cross, Lawrence Weston, Bristol","Excavation","Bristol and Region Archaeological Services","355430","178520","Industry|Rural settlement|Religious ritual and funerary","quarry|road|funerary site|farm|shrine","","","","","","",""
"14184","Gloucestershire","Central Belt","Blaise Castle","Excavation","","355890","178380","Rural settlement|Religious ritual and funerary","hillfort|funerary site|shrine","","","","","","",""
"15010","Hampshire","South","Adanac Park, Nursling","Excavation","Wessex","437326","115544","Religious ritual and funerary","funerary site","","","","33306","","",""
"15016","Hampshire","South","Thruxton","Excavation","Oxford University","429818","146199","Rural settlement|Religious ritual and funerary","agricultural building|funerary site|shrine|farm","corndrier","","","23631","","",""
"15024","Hampshire","South","Brook","Excavation","Wessex Archaeology","434140","129000","Religious ritual and funerary","funerary site","","","","","","",""
"15042","Hampshire","South","Winchester Street, Andover","Excavation","Thames Valley Archaeological Trust (and Manpower Services)","436559","145225","Religious ritual and funerary","funerary site","","","","55845","","",""
"15044","Hampshire","South","Hayling Island temple","Excavation","University of Winchester","472470","102990","Religious ritual and funerary","shrine|RC temple","","","","23605","","",""
"15053","Hampshire","South","Silkstead Sandpit, Otterbourne","","(18thC quarrying)","445489","123706","Religious ritual and funerary","shrine","","","","25512","","",""
"15056","Hampshire","South","Manor Farm, Hurstbourne Priors","Excavation","Andover Museum","443941","146783","Religious ritual and funerary","funerary site","","","","56371","","",""
"15057","Hampshire","South","RAF Odiham","Excavation","Wessex Archaeology","473900","150400","Religious ritual and funerary","funerary site","","","","34815","","",""
"15068","Hampshire","South","Alton, Kemp's Yard","Excavation","University of Durham","471600","139090","Religious ritual and funerary|Nucleated settlement","funerary site|roadside settlement","","","","","","",""
"15072","Hampshire","South","Burntwood Farm, Itchen Valley Parish, (MARC 3) R6","Excavation","M3 Archaeological Rescue Committee","451130","134110","Religious ritual and funerary|Rural landscape","funerary site|road|field system","","","","","","",""
"15078","Hampshire","South","Armsley, Godshill","Excavation","Salisbury Museum Excavation Sub-committee","416800","116200","Religious ritual and funerary","shrine|iron production","","","","27808","","",""
"15079","Hampshire","South","Wheatley's, Binstead","","Henry Long","478500","140000","Religious ritual and funerary","funerary site","","","","","","",""
"14020","Gloucestershire","Central Belt","Haymes, Cleeve Hill","Excavation","","397600","226600","Rural settlement|Religious ritual and funerary","farm|shrine","","","","","","",""
"14021","Gloucestershire","Central Belt","Portway","Excavation","","385900","215100","Rural settlement|Religious ritual and funerary|Industry","farm|shrine|pottery production","","","","","","",""
"14022","Gloucestershire","Central Belt","Barrow wake, Birdlip","Excavation","","393100","215300","Religious ritual and funerary","funerary site","","","","","","",""
"14031","Gloucestershire","Central Belt","Claydon Pike","Excavation","Oxford Archaeology","419000","199600","Rural settlement|Religious ritual and funerary","farm|shrine|funerary site","storage|well|corndrier","","","","","",""
"14032","Gloucestershire","Central Belt","Neigh Bridge, Somerford Keynes","Excavation","Oxford Archaeology","401976","194547","Rural settlement|Religious ritual and funerary","farm|shrine|other industry","storage|corndrier","","","","","",""
"14036","Gloucestershire","Central Belt","Wortley, Wotton-under-Edge","Excavation","University of Keele","376500","191800","Rural settlement|Religious ritual and funerary","villa|shrine","bathhouse","","","","","",""
"14040","Gloucestershire","Central Belt","Harnhill, Driffield","Excavation","Gloucestershire County Council Archaeology Service","408100","200500","Rural settlement|Religious ritual and funerary","villa|funerary site|tile production","","","","","","",""
"14045","Gloucestershire","Central Belt","Dymock, Sewage Treatment Works","Excavation","Gloucestershire County Council Archaeological Unit; Oxford Archaeology","370240","231230","Nucleated settlement|Industry|Religious ritual and funerary","roadside settlement|iron production|other metal production|funerary site","workshop|SFB","","","","","",""
"14053","Gloucestershire","Central Belt","Former St James's Railway Station, Cheltenham","Excavation","Cotswold Archaeology","394300","222600","Rural landscape|Religious ritual and funerary","field system|funerary site","","","","","","",""
"14059","Gloucestershire","Central Belt","Field's Farm","Excavation","Oxford Archaeology","398279","208389","Religious ritual and funerary|Communications","funerary site|road|quarry","","","","","","",""
"14070","Gloucestershire","Central Belt","Chedworth","Excavation","","405270","213470","Rural settlement|Religious ritual and funerary","villa|shrine","bathhouse","","","","","",""
"14072","Gloucestershire","Central Belt","Chedworth temple","Excavation","","406120","213280","Religious ritual and funerary","RC temple","","","","","","",""
"14074","Gloucestershire","Central Belt","Lydney Park","Excavation","","361590","202674","Religious ritual and funerary|Industry","RC temple|iron production","bathhouse","","","","","",""
"14076","Gloucestershire","Central Belt","Wick","Excavation","","369360","171950","Religious ritual and funerary","funerary site","","","","","","",""
"14081","Gloucestershire","Central Belt","Cutsdean","Excavation","","408912","230362","Religious ritual and funerary","funerary site","","","","","","",""
"14085","Gloucestershire","Central Belt","Barnwood","Excavation","","386426","217885","Religious ritual and funerary","funerary site","","","","","","",""
"14087","Gloucestershire","Central Belt","Bishop's Cleeve, Stoke Road & Cleeve Hall","Excavation","Cotswold Archaeology; Foundations Archaeology","395492","227646","Nucleated settlement|Religious ritual and funerary","field system|agricultural building|funerary site|village","","","","","","",""
"14091","Gloucestershire","Central Belt","Hailes","Excavation","","404191","230672","Religious ritual and funerary","funerary site","","","","","","",""
"14092","Gloucestershire","Central Belt","Hinchwick, Condicote","Excavation","","414188","229939","Religious ritual and funerary","funerary site","","","","","","",""
"14103","Gloucestershire","Central Belt","Uley","Excavation","Committee for Rescue Archaeology in Avon, Gloucestershire and Somerset","378900","199700","Religious ritual and funerary","RC temple|shrine|other metal production","","","","","","",""
"14111","Gloucestershire","Central Belt","Bourton-on-the-water, Cotswold School/Primary School","Excavation","Cotswold Archaeology","416660","221200","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","","","","","","",""
"14120","Gloucestershire","Central Belt","Summerhill, Naunton","Excavation","Bristol and Gloucestershire Archaeological Society","412000","224600","Religious ritual and funerary","funerary site","","","","","","",""
"11023","West Sussex","South","Broadbridge, Bosham","Excavation","Southern Archaeology","480908","105105","Religious ritual and funerary","RC temple","","","","MWS1770","","",""
"11032","West Sussex","South","Hassocks, Former Hassocks sand pit","Excavation","Sussex Archaeological Society","529628","115564","Religious ritual and funerary|Nucleated settlement","funerary site|roadside settlement","","","","MWS3204","","",""
"11034","West Sussex","South","Slonk Hill, Shoreham","Excavation","Brighton and Hove Archaeological Society","522527","106596","Religious ritual and funerary","shrine","","","","MWS5772","","",""
"11039","West Sussex","South","Money Mound, Hammerpond Road","Excavation","S G Beckensall","523770","128770","Religious ritual and funerary","shrine","","","","MWS634","","",""
"11062","West Sussex","South","Ratham Mill, Funtington","Field survey","Air Photo Unit of the Royal Commission on Historical Monuments","480900","106440","Religious ritual and funerary","RC temple","","","","MWS4101","","",""
"11072","West Sussex","South","Muntham Court, Findon","Excavation","Worthing Archaeological Society","510900","109400","Religious ritual and funerary","shrine","well","","","MWS5829","","",""
"12033","Berkshire","Central Belt","Malt Shovel Lane, Upper Lambourn","Excavation","Berkshire Archaeological Unit","431780","180000","Religious ritual and funerary","funerary site","","","","","","",""
"12040","Berkshire","South","Mortimer Hill Farm, Mortimer","Excavation","Thames Valley Archaeological Services","465992","164643","Religious ritual and funerary","funerary site","","","","MWB17650|MWB17651","","",""
"17113","Wiltshire","South","Cold Kitchen Hill","Excavation","R de C Nan Kivell","384500","138300","Religious ritual and funerary","shrine","","","","MWI493","","",""
"17117","Wiltshire","Central Belt","Easterton","Excavation","","401960","154980","Religious ritual and funerary","funerary site","","","","","","",""
"17118","Wiltshire","South","Teffont","Excavation","","399250","130890","Religious ritual and funerary","funerary site","","","","MWI3303","","",""
"17130","Wiltshire","Central Belt","Overton Down burial mounds","Excavation","","411930","168320","Religious ritual and funerary","funerary site|road","","","","","","",""
"17131","Wiltshire","Central Belt","Parsonage Farm, Winsley","Excavation","","379930","162010","Religious ritual and funerary","funerary site","","","","","","",""
"17134","Wiltshire","Central Belt","Colerne Park Wood","Excavation","A Shaw Mellor","383650","173039","Religious ritual and funerary","shrine","","","","","","",""
"17135","Wiltshire","Central Belt","Westrop House, Highworth","Excavation","A D Passmore","419880","192370","Religious ritual and funerary","funerary site","","","","","","",""
"17136","Wiltshire","South","Laverstock, Salisbury","Excavation","","415740","130120","Religious ritual and funerary","funerary site","","","","","","",""
"17140","Wiltshire","Central Belt","Triangle Site, South Marston, Swindon","Excavation","Wessex Archaeology","417695","188855","Religious ritual and funerary","funerary site","","","","","","","wessexar1-91248"
"17147","Wiltshire","South","Upper Holt Copse, Teffont","Excavation","Teffont Archaeology Project","398320","131720","Religious ritual and funerary","shrine","","","","MWI3304","","",""
"18005","Cornwall","South-West","Bryher, Isles of Scilly","Excavation","Cornwall Archaeological Unit and English Heritage","087740","014410","Religious ritual and funerary|Rural settlement","funerary site|farm","","","","MCO56635","","",""
"18014","Cornwall","South-West","Porth Cressa, St Mary's, Isles of Scilly","Excavation","Ministry of Works","090140","010428","Religious ritual and funerary","funerary site","","","","MCO31127","","",""
"20081","Dorset","South","Tolpuddle Ball cemetery","Excavation","Wessex Archaeology","381228","094806","Religious ritual and funerary","funerary site","","","","","","",""
"20087","Dorset","South","Alington Avenue, Fordington","Excavation","Trust for Wessex Archaeology","370200","089900","Rural settlement|Rural landscape|Religious ritual and funerary","farm|funerary site|field system","well|corndrier","","","MDO18553","","",""
"21001","Somerset","Central Belt","Cannington cemetery","Excavation","","325110","140390","Religious ritual and funerary","funerary site|shrine","","","","10503","","",""
"21004","Somerset","Central Belt","Brean Down","Excavation","University of Bristol Spelaeology Society","329335","158835","Religious ritual and funerary","RC temple|iron production","","","","10117|31583","","",""
"21005","Somerset","Central Belt","Cadbury Congresbury","Excavation","Cadbury Congresbury Research Excavation Project","344150","164950","Rural settlement|Religious ritual and funerary","hillfort|shrine","","","","195114","","",""
"21006","Somerset","South","Cadbury Castle (South Cadbury)","Excavation","Camelot Research Committee","362837","125101","Rural settlement|Religious ritual and funerary|Military","hillfort|shrine|fort","","","","55105","","",""
"21012","Somerset","Central Belt","Puckington","Excavation","H St G Gray","337660","118380","Religious ritual and funerary","funerary site","","","","54423","","",""
"21047","Somerset","Central Belt","Henley Wood","Excavation","E Greenfield","344290","165200","Religious ritual and funerary","shrine|RC temple|funerary site","","","","MNS315","","",""
"21054","Somerset","South","Sigwells, Charlton Horethorne","Excavation","Birmingham University Field Archaeology Unit","364000","123000","Rural settlement|Religious ritual and funerary","farm|shrine","","","","53663","","",""
"21055","Somerset","South","Eastcombe farm","Evaluation","University of Bristol","363400","124940","Rural landscape|Religious ritual and funerary","field system|funerary site","","","","26252","","",""
"21062","Somerset","Central Belt","Whitegate Farm, Bleadon","Excavation","Avon Archaeological Unit","333990","156920","Religious ritual and funerary","funerary site","","","","","","",""
"21064","Somerset","Central Belt","Bradley Hill, Somerton","Excavation","","348000","130340","Rural settlement|Religious ritual and funerary","farm|funerary site","storage","","","54501","","",""
"21068","Somerset","Central Belt","Ben Bridge","Excavation","P A Rhatz and E Greenfield","355639","159304","Religious ritual and funerary","funerary site","","","","","","",""
"21088","Somerset","Central Belt","Wookey Hole Caves","Excavation","","353190","148010","Religious ritual and funerary","cave|funerary site|shrine","","","","24330","","",""
"21091","Somerset","Central Belt","Charterhouse Warren Farm Swallet","Excavation","","349360","154580","Religious ritual and funerary","funerary site|cave","","","","24097","","",""
"21093","Somerset","Central Belt","Hay Wood Cave","Excavation","Axbridge Caving Group and Archaeological Society","333990","158220","Religious ritual and funerary","cave|funerary site","","","","MNS21","","",""
"21106","Somerset","Central Belt","Pagans Hill, Chew Stoke","Excavation","","355720","162600","Religious ritual and funerary","RC temple|iron production","well","","","MBN696","","",""
"15123","Hampshire","South","Snell's Corner, Horndean","Excavation","Ministry of Works","470730","115246","Religious ritual and funerary","funerary site","","","","26549","","",""
"16038","Oxfordshire","Central Belt","Radley Barrow Hills II","Excavation","Oxford Archaeology","451350","198150","Religious ritual and funerary","funerary site","","","","","","",""
"16065","Oxfordshire","Central Belt","Wroxton","Excavation","Oxford Archaeology","441500","241850","Religious ritual and funerary","funerary site","","","","","","",""
"16068","Oxfordshire","Central Belt","Stanton Harcourt","Excavation","Oxford Archaeology","441570","205000","Religious ritual and funerary","funerary site","","","","","","",""
"16080","Oxfordshire","Central Belt","Hailey Wood, Lewknor","Excavation","M40 Archaeological Research Group","473900","196700","Religious ritual and funerary","shrine","","","","","","",""
"16082","Oxfordshire","Central Belt","Ashgrove Farm, Ardley","Excavation","","453650","225710","Religious ritual and funerary","funerary site","","","","","","",""
"16086","Oxfordshire","Central Belt","Pyrton Heath, Watlington","Excavation","","467500","196700","Religious ritual and funerary","funerary site","","","","","","",""
"16089","Oxfordshire","Central Belt","Lowbury Hill","Excavation","University of Reading","454000","182200","Religious ritual and funerary","shrine","","","","","","",""
"16092","Oxfordshire","Central Belt","Cassington cemetery","Excavation","","444846","210447","Religious ritual and funerary","funerary site","","","","","","",""
"16093","Oxfordshire","Central Belt","Woodeaton","Excavation","Ashmolean Museum","453620","212540","Religious ritual and funerary","RC temple","","","338732","","","",""
"16099","Oxfordshire","Central Belt","Marcham/Frilford","Excavation","University of Oxford","443894","196247","Religious ritual and funerary|Nucleated settlement","RC temple|shrine|funerary site|roadside settlement|other metal production","well|workshop","","","","","",""
"16101","Oxfordshire","Central Belt","Bloxham","Excavation","","442224","235928","Rural settlement|Religious ritual and funerary","farm|funerary site","well","","","","","",""
"16108","Oxfordshire","Central Belt","Uffington","Excavation","Oxford Archaeology","430011","186521","Religious ritual and funerary","funerary site|shrine","corndrier","","","","","",""
"16113","Oxfordshire","Central Belt","Kingston Road, Jericho, Oxford","Watching brief","Oxford Archaeology","450500","207200","Religious ritual and funerary","funerary site","","","","","","",""
"17039","Wiltshire","South","Bratton","Excavation","Wiltshire Archaeological and Natural History Archaeology Field Group","392155","151954","Religious ritual and funerary","funerary site","","","","","","",""
"17042","Wiltshire","Central Belt","Erlestoke Detention Centre","Excavation","D G King","396970","153910","Rural settlement|Religious ritual and funerary","farm|funerary site","","","","MWI4257","","",""
"17043","Wiltshire","Central Belt","Land adjacent to Wayside Farm, Nurseed Road, Devizes","Excavation","AC Archaeology","401600","160300","Rural settlement|Religious ritual and funerary","farm|shrine|funerary site","","","","","","",""
"17046","Wiltshire","Central Belt","Bitham Park, Westbury","Excavation","AC archaeology","387717","151734","Religious ritual and funerary","funerary site","","","","","","",""
"17047","Wiltshire","South","Amesbury, Boscombe Down","Excavation","Wessex Archaeology","416540","140420","Nucleated settlement|Religious ritual and funerary","village|funerary site|quarry","","","","","","",""
"17055","Wiltshire","South","Sorviodunum, Old Sarum Water Pipeline","Excavation","Wessex Archaeology","414189","132591","Religious ritual and funerary|Nucleated settlement","funerary site|roadside settlement","","","","","","",""
"17067","Wiltshire","Central Belt","Blackland, CaIne","Excavation","B Phillips","401900","168300","Rural settlement|Religious ritual and funerary","farm|funerary site","corndrier","","","","","",""
"17069","Wiltshire","South","High Post, Salisbury","Excavation","Wessex Archaeology","414500","137150","Rural settlement|Religious ritual and funerary","farm|shrine","corndrier","","","","","",""
"17072","Wiltshire","South","Eastern Infrastructure, Salisbury Plain training area","Evaluation","Wessex Archaeology","415700","154000","Rural landscape|Religious ritual and funerary","field system|funerary site","","","","","","",""
"17076","Wiltshire","Central Belt","Lower Upham Farm, Ogbourne St George","Excavation","Wessex Archaeology","420781","177650","Rural landscape|Religious ritual and funerary","field system|funerary site","","","","","","",""
"17081","Wiltshire","South","Sand Hill Farm, Longbridge Deverill","Excavation","Pathfinders Archaeological Reconnaisance","387500","140950","Religious ritual and funerary","funerary site","","","","MWI1126","","",""
"17088","Wiltshire","Central Belt","Northwood Farm, Colerne","Excavation","F K Annable","381250","173290","Religious ritual and funerary","funerary site","","","","","","",""
"17098","Wiltshire","Central Belt","Brotton Hill Wood, Burton (M4 Site 5)","Excavation","Wiltshire Archaeological and Natural History Society","379694","179141","Rural settlement|Religious ritual and funerary","farm|funerary site","","","","MWI147","","",""
"17100","Wiltshire","Central Belt","Blounts Court, Potterne","Excavation","","399600","158160","Religious ritual and funerary","funerary site","","","","","","",""
"17102","Wiltshire","South","Maiden Bradley","Excavation","","380300","138700","Religious ritual and funerary","funerary site","","","","","","",""
"20003","Dorset","South","Church Knapp, Wyke Regis","Excavation","AOC Archaeology","366350","077779","Religious ritual and funerary","funerary site","","","","MWX3341","","GAW 98","aocarcha1-13115"
"20008","Dorset","South","Manor Farm, Portesham","Excavation","AC Archaeology","360250","085960","Religious ritual and funerary","funerary site|shrine","","","","MWX2926","","",""
"20013","Dorset","South","Penny's Farm, Cranbourne","Excavation","Terrain Archaeology","405900","113200","Religious ritual and funerary","funerary site","","","","MDO5526","","",""
"20014","Dorset","South","Badbury Romano-Celtic temple","Evaluation","National Trust","396040","103000","Religious ritual and funerary","RC temple","","","","MDO5991","","",""
"20021","Dorset","South","Flagstones, Alington Avenue","Excavation","Wessex Archaeology","370423","090000","Rural settlement|Rural landscape|Religious ritual and funerary","field system|farm|funerary site","","","","MDO18016","","",""
"20022","Dorset","South","Maiden Castle Road","Excavation","Wessex Archaeology","367623","089503","Rural settlement|Religious ritual and funerary","farm|funerary site|quarry","SFB","","","MDO18030|MDO18059|MDO18028","","",""
"20023","Dorset","South","Fordington Bottom, A37 Western Link Road","Excavation","Wessex Archaeology","366657","090534","Religious ritual and funerary|Rural settlement","funerary site|farm","SFB|corndrier|workshop","","","MDO18727|MDO424|MDO1870","","",""
"20024","Dorset","South","Tinney's Lane, Sherborne","Excavation","Wessex Archaeology","364410","116870","Religious ritual and funerary","funerary site","","","","MDO19698","","",""
"20025","Dorset","South","Portesham Farm, Portesham","Excavation","Wessex Archaeology","361100","086100","Religious ritual and funerary","funerary site","","","","MDO2086","","",""
"20031","Dorset","South","Whitcombe","Excavation","G M and G N Aitken","371119","088066","Religious ritual and funerary|Rural settlement","funerary site|farm","","","","MDO2972|MDO2971","","",""
"20035","Dorset","South","Maiden Castle","Excavation","English Heritage/Trust for Wessex Archaeology","366900","088465","Nucleated settlement|Religious ritual and funerary","hillfort|RC temple|shrine","workshop","","","MDO3245","","",""
"20037","Dorset","South","Walls, Puncknowle","Excavation","Dorset Natural History and Archaeological Society","353990","087300","Religious ritual and funerary","shrine","","","","","","",""
"20039","Dorset","South","Lea Road, Wyke Regis","Excavation","S J Dockerill","365950","077880","Religious ritual and funerary","funerary site","","","","MDO6678","","",""
"20045","Dorset","South","Burton Bradstock","Excavation","Dorset County Museum","348600","089500","Religious ritual and funerary","funerary site","","","","MDO604","","",""
"20046","Dorset","South","Putton Lane Brickyards, Chickerell","Excavation","Dorset County Museum","364820","080010","Religious ritual and funerary","funerary site","","","","MDO874","","",""
"22074","Derbyshire","Central Belt","Derby Racecourse","Excavation","Derby Museums; Derby Archaeological Research Group","436100","337600","Nucleated settlement|Industry|Religious ritual and funerary","funerary site|iron production|pottery production|roadside settlement","well|kiln","","","MDR4537|MDR4539","","",""
"22080","Derbyshire","Central West","Winster, Derbyshire","Excavation","T Bateman","424280","360560","Religious ritual and funerary","funerary site","","","","MDR3730","","",""
"22081","Derbyshire","Central West","Thirst House Cave, Deepdale","Excavation","M Salt","409710","371290","Rural settlement|Religious ritual and funerary|Industry","cave|shrine|other industry","","","","MDR270","","",""
"23003","Leicestershire","Central Belt","Leicester Lane, St Johns, Enderby","Excavation","University of Leicester Archaeological Services (ULAS)","455200","299560","Rural landscape|Religious ritual and funerary","funerary site|field system","","","","","","",""
"23014","Leicestershire","Central Belt","Rushey Mead, Leicester","Excavation","Leicestershire Museums, Arts and Records Service","460860","308360","Religious ritual and funerary","funerary site","","","","","","",""
"23031","Leicestershire","Central Belt","Medbourne","Excavation","ULAS","479000","293400","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site","","","","","","XA140.2005","universi1-88118"
"23038","Leicestershire","Central Belt","Bosworth Field, Sutton Cheney","Geophysics","School of History and Archaeology, University of Leicester ULAS Leicestershire County Council Bosworth Battlefield Heritage Centre and Country Park Portable Antiquities Scheme","439980","300180","Religious ritual and funerary","shrine|other metal production","","","","MLE9186","","",""
"23041","Leicestershire","Central Belt","Hallaton","Excavation","University of Leicester Archaeological Services","478000","296000","Religious ritual and funerary","shrine","","","","","","",""
"23044","Leicestershire","Central Belt","Land at No. 40 Unitt Road, Quorn","Evaluation","Benchmark Archaeology","456860","315930","Religious ritual and funerary","funerary site","","","","","SLE2123","",""
"23068","Leicestershire","Central Belt","Red Hill, near Birstall, Leicester","Excavation","University of Leicester Archaeological Services","458859","308253","Religious ritual and funerary","funerary site","","","","","","",""
"24001","Lincolnshire","Central Belt","Fiskerton","Excavation","DoE","504976","371651","Religious ritual and funerary","shrine","","","","","","",""
"24002","Lincolnshire","Central Belt","Sleaford","Excavation","University of Nottingham (and others) Archaeological Project Services","507870","346240","Nucleated settlement|Religious ritual and funerary","agricultural building|roadside settlement|mansio|road|field system","corndrier|well|","","","","","",""
"24003","Lincolnshire","North-East","Dragonby","Excavation","University of Oxford, University of Nottingham","490501","413815","Nucleated settlement|Religious ritual and funerary","village|shrine|pottery production|funerary site|iron production|other metal production","well|corndrier|kiln","","","","","",""
"24009","Lincolnshire","North-East","Mount Pleasant House, Nettleton and Rothwell","Excavation","Durham University and Lincolnshire County Council","513107","397501","Nucleated settlement|Religious ritual and funerary","roadside settlement|field system|shrine","corndrier","","","","","",""
"24010","Lincolnshire","Central Belt","Kirkby la Thorpe","Excavation","Network Archaeology","510652","345762","Religious ritual and funerary","funerary site","","","","","","",""
"24016","Lincolnshire","North-East","Kirmington","Field survey","Jones and Whitwell","509600","411400","Nucleated settlement|Religious ritual and funerary|Military","roadside settlement|shrine|fort","","","","","","",""
"24017","Lincolnshire","Central Belt","Saltersford","Excavation","Heritage Trust for Lincolnshire; Archaeological Project Services","492351","333328","Nucleated settlement|Religious ritual and funerary","roadside settlement|funerary site|jetty/bridge","well","","","","","",""
"24031","Lincolnshire","Central Belt","Navenby, Chapel Heath","Evaluation","Pre-Construct Archaeology","499300","357500","Nucleated settlement|Religious ritual and funerary","roadside settlement|quarry|shrine|funerary site","","","","","","",""
"24033","Lincolnshire","North-East","Kingerby Hall, Kingerby","Watching brief","City of Lincoln Archaeology Unit","505650","392800","Religious ritual and funerary|Rural landscape","funerary site|field system","","","","","","",""
"24037","Lincolnshire","Central Belt","Hall Field, Water Lane, Bassingham","Excavation","Archaeological Project Services","490900","360100","Religious ritual and funerary","field system|funerary site","","","","","","",""
"24044","Lincolnshire","Central Belt","Appletrees, 48 Main Street, Baston","Evaluation","Lindsey Archaeological Services","511680","314080","Religious ritual and funerary","funerary site","","","","","","",""
"24065","Lincolnshire","North-East","Greetwell, Lincoln","Evaluation","Lindsey Archaeological Services; Oxford Archaeotechnics;","500700","372400","Rural settlement|Religious ritual and funerary","farm|funerary site","corndrier","","","","","",""
"20058","Dorset","South","Southdown Ridge","Excavation","Oxford Archaeology","367300","083200","Religious ritual and funerary|Rural settlement","funerary site|other industry","","","","MDO37228","","",""
"20060","Dorset","South","Poundbury","Excavation","Dorset Natural History and Archaeological Society","368238","091134","Nucleated settlement|Religious ritual and funerary","funerary site|RC temple|roadside settlement|road|hillfort|village","","","","MDO18397|MDO18870|MDO18415|MDO18414|MDO18416|MDO18413","","",""
"20061","Dorset","South","Bucknowle","Excavation","Friends of Bucknowle","395400","081500","Rural settlement|Religious ritual and funerary","farm|villa|shrine","bathhouse|storage|corndrier|workshop","","","MDO7522","","",""
"20064","Dorset","South","Goldfields Farm, Minchington","Evaluation","Wessex Archaeology","396925","113950","Rural settlement|Religious ritual and funerary","field system|funerary site|farm","","","","MDO23794","","",""
"20065","Dorset","South","Picket Lane, South Perrot","Evaluation","Wessex Archaeology","347070","105300","Religious ritual and funerary","shrine","","","","","","",""
"20076","Dorset","South","Knob's Crook, Woodlands","Excavation","Royal Commission of Historical Monuments","405220","107330","Religious ritual and funerary","funerary site","","","","MDO6414","","",""
"20078","Dorset","South","Gaulter Gap, Kimmeridge","Excavation","J B Calkin","390722","079165","Religious ritual and funerary","funerary site","","","","MDO7876|MDO7879","","",""
